queryid,documentid,answer,exact,f1
1046931,3317386,a sequel,0,0.0
270521,3317757,8 to 12 hours,1,1.0
1006199,3317927,Between 1951 and 1953,0,0.47058823529411764
619675,3317931,the structure of DNA,1,1.0
1085139,3317988,Sept. 24,0,0.8
753517,3318180,Mysophobia,1,1.0
930326,3318743,Use a humidifier or vaporizer,1,1.0
1090110,3318776,the processes used by people and businesses to pay taxes,0,0.6666666666666666
1090110,3318780,the processes utilized by individuals and businesses,0,0.3636363636363636
1065118,3318792,eye problems,0,0.25
1065118,3318796,eye infection,1,1.0
1065118,3318797,The causes of eye mucus discharge,0,0.23255813953488372
1084769,3319002,DTI,0,0.08333333333333333
1091116,331903,21-23°,0,0.0
1031910,3319163,"6 feet, 4 inches",0,0.0
524835,3319379,Trista and Vanessa,0,0.42857142857142855
1087911,3319511,lettuce,0,0.0
1090758,3319777,$35 million,0,0.2666666666666667
1090758,3319783,2012,0,0.0
823549,3319871,shaped the way the civilization and culture developed,0,0.22641509433962262
993419,3320103,an island in the northeast Caribbean,0,0.6666666666666666
1082339,3320554,pain and/or inflammation,0,0.20689655172413793
990176,3320900,what someone has just said to you,0,0.43750000000000006
990176,3320905,what someone has just said to you,0,0.45161290322580644
990176,3320906,the main point or part : essence the gist of an argument,1,1.0
510444,3321320,electrical equipment to determine the integrity of the insulation,0,0.2285714285714286
510444,3321321,a ratio of viscose to elastic response,0,0.923076923076923
510444,3321327,a non-destructive diagnostic test performed on cables,0,0.7499999999999999
1065728,3321855,Unified Business Identifier,0,0.2857142857142857
656376,3322070,bachelor's degree,0,0.14285714285714288
996414,3322917,"Fairfield, Connecticut",1,1.0
1065650,3322971,Universal Resource Locator,0,0.21428571428571425
925059,3323476,Form W-2,0,0.16
863817,3324643,gum,0,0.0
1003351,332501,when a previously-unassociated or new stimulus that has similar characteristics,0,0.5625
1003351,332505,both classical and operant conditioning situations,0,0.0
1092557,3325137,"Pete Rose holds the Major League record for most career hits with 4,256",1,1.0
1086391,3326021,Folic acid,0,0.3076923076923077
1021639,3326136,even though the speed is constant,0,0.0
1021639,3326143,centripetal force,0,0.4444444444444445
896931,3326443,18.4 miles per second,0,0.7272727272727273
998417,3326504,"Prince George's County, Maryland, United States",0,0.6666666666666666
242713,3326546,3 days,0,0.14285714285714288
565696,3326928,"free, and some of which has had an edge in style",0,0.0
1023111,3327036,west,0,0.0
1023111,3327042,north,1,1.0
20671,3327133,Oligosaccharides and polysaccharides,0,0.1
1002145,3327837,mid to late April,0,0.4
593135,332797,irritation of the surface of the eye,0,0.4166666666666667
417362,3329291,Marijuana has been used as a medicine for thousands of years,1,1.0
417362,3329294,Marijuana has been used as a medicine for thousands of years,1,1.0
944181,3330025,two months of age,0,0.25
185276,3330748,Bugatti Veyron,0,0.0
862701,3330748,Bugatti Veyron,0,0.0
88160,3330850,ill-fitting dentures or other oral devices,1,1.0
88160,3330853,"stress, mouth injury, food allergy, hormonal changes",0,0.4444444444444445
137889,3330889,Rausch Unit,0,0.25
422268,3331215,this does not mean it behaves like or has the same properties or care requirements,0,0.0
178859,3332110,Damage to specific brain regions deprived of oxygen,0,0.45714285714285713
1101279,3332141,they have to do so as well,0,0.56
1086014,3332250,Cellular respiration,0,0.3636363636363636
804996,3333503,"105674 Atlanta, GA 30348-5674",0,0.3333333333333333
947974,3334080,22nd of september,0,0.4615384615384615
853995,3334084,hot and humid,0,0.15
153588,3334294,12 miles or 19 kilometers,0,0.5555555555555556
1089022,3334522,a full-size SUV,0,0.25
760512,3334533,Internet Protocol,0,0.1111111111111111
1097796,3334673,48 hours,0,0.1904761904761905
823596,3334862,agreed to take no military action against each other for the next 10 years,0,0.787878787878788
1028742,3334933,Many nations,0,0.23529411764705882
1096463,3334969,3-4 months,0,0.07142857142857144
462301,3335343,cataplexy,0,0.0
1098520,3335475,13 to 16 minutes,0,0.18604651162790695
878817,3335652,October,0,0.6666666666666666
1037407,3335726,Quincy Jones,1,1.0
1085303,3336111,Sonoma County,1,1.0
1085139,3336139,"January 26, 2017",0,0.17647058823529413
327750,3336298,"between $500 and $1,000",0,0.17777777777777776
1098071,3336582,60 days,0,0.8
1003603,333679,"January 22, 2018",0,0.8571428571428571
872855,3337058,conservation of mass,0,0.19354838709677416
1095306,3337694,28,0,0.05714285714285715
236801,3337888,"life expectancy at birth, adult literacy rates and per capita gross domestic product",0,0.7428571428571429
1055717,3337957,electronic health record system,0,0.4210526315789474
265729,3338174,Seven Year Rule for Record Retention,0,0.11764705882352942
795991,3338887,to ensure the strongest interactions between mathematics and other scientific and technological communities,0,0.6666666666666666
836044,3338988,$84.7 million,0,0.5
921173,3339083,882 feet 9 inches,0,0.8
1101336,3339411,foliar diseases,0,0.09523809523809525
1101336,3339413,"yellow rust, tan spot, powdery mildew",0,0.5714285714285715
550609,3339832,39,1,1.0
371695,3340266,Winston-Salem Eligibility Center,0,0.13333333333333333
1021900,3340305,above 700,0,0.14814814814814814
1095922,3341457,just over $6,0,0.6
728460,334146,Iron supplements,1,1.0
1088347,334253,"Rain, Thunderstorms",1,1.0
537410,3343149,Lytic Cycle,0,0.0
1096532,3343174,twenty,0,0.0
1096532,3343178,20,0,0.07692307692307693
917536,334340,between 220 and 240 volts,0,0.37037037037037035
184105,3344261,current is equal to the voltage divided by the resistance,0,0.2857142857142857
1016013,3344717,plants,0,0.15384615384615385
1016013,3344718,plants,0,0.15384615384615385
1084838,3345120,it can treat constipation,0,0.8571428571428571
538333,3345713,A muscle,0,0.1111111111111111
1089043,3346370,VAMPS,0,0.0
29097,3347440,95-100°,0,0.0
656345,3347665,HTML editor,1,1.0
1090596,3348378,a smile expressing smugness or scorn instead of pleasure,0,0.9411764705882353
1090596,3348383,To smile in an annoying self-satisfied manner,1,1.0
1098102,3348386,3:00 p.m. on the next day,0,0.30303030303030304
1087238,3349001,Adipose tissue,0,0.8
783963,3349364,secretion of the sleep hormone,0,0.5
778857,3350645,an eye pressure of greater than 21 mm Hg,0,0.2807017543859649
891082,3351100,Carotid endarterectomy,1,1.0
759515,3351313,Bread Machine Yeast,0,0.3
1045208,3352240,A Tribute to Courage,0,0.0
228738,3352308,The cervix softens,1,1.0
1064195,3352751,a small air-driven turbine,0,0.3157894736842105
1064195,3352754,using the airflow created by a moving object for power,0,0.7272727272727273
786021,3353713,Point-to-Point Protocol,0,0.14814814814814814
1060623,3353909,A person who was born between 1946 and 1964,1,1.0
746065,3354173,keep in touch with family and friends,0,0.3888888888888889
1092863,3354186,amniotic fluid volume that is less than expected for gestational age,0,0.88
129837,3354609,Wrongful Conviction,0,0.16666666666666669
129837,3354616,Wrongful Conviction,0,0.125
592220,335566,Injury to the parts of the brain that control emotional expression,1,1.0
1064529,3355758,resistant to bacteria,0,0.4
458774,3355862,"CNN, FNC, and MSNBC",1,1.0
1093359,3356401,"sweet, bitter, sour, salty and umami",0,0.7058823529411764
694063,3357373,personal digital assistant,0,0.24000000000000002
203039,3357393,"California, Hawaii, and Oregon",1,1.0
424753,3358519,New Year's Day,0,0.42857142857142855
92437,335882,1890 – 1953,0,0.0
1090550,3358895,an empire,0,0.125
1090550,3358899,an empire,0,0.1111111111111111
1091595,3359193,retina,0,0.07999999999999999
517386,3359196,retinal detachment,1,1.0
1091595,3359198,fluid accumulating under the retina,0,0.2222222222222222
672429,3359298,a lubricant consisting of chemical compounds that are artificially made,0,0.8181818181818181
981400,3359437,Disney World,0,0.0
1081086,335964,lean meats,0,0.0
1058604,3359984,"a steely-gray, lustrous, hard and brittle metal",0,0.11764705882352942
295406,3360040,from 5 to 7,0,0.38095238095238093
295406,3360042,three rows of seats,0,0.0
295406,3360044,7,1,1.0
263670,336025,nine hours and 55 minutes,1,1.0
887395,3360302,Woody plants,0,0.0
1086248,3360817,dry skin and a build-up of dead skin cells,0,0.0
1083000,3360851,poverty status,0,0.2857142857142857
259417,3361637,up to 30 days each calendar year,0,0.7000000000000001
1027865,3362435,Thomas Edison,0,0.13333333333333333
845892,3362837,Archaeology,0,0.16666666666666669
1096252,336302,"$340,000",0,0.19999999999999998
1098806,3363334,the tail,0,0.18181818181818182
1054440,3363108,popular as an ingredient in cocktails,0,0.0
1054440,3363109,cocktails,0,0.0
1098806,3363335,the tail,0,0.18181818181818182
1098806,3363337,the tail,0,0.18181818181818182
956403,3363607,cerebrospinal fluid,0,0.1904761904761905
1086296,3364344,a 2004 Mustang GT convertible 40th anniversary model,0,0.4444444444444445
1019705,3364540,The HIP,0,0.0
1040793,3364753,a credit union is a not-for-profit institution,0,0.21739130434782605
1085762,3365262,Peppers,0,0.125
443027,3365535,"dizziness, headache, insomnia, muscle pain, cough, fatigue",0,0.5833333333333334
175251,336556,Dove Symbolism,0,0.0
175251,336561,Dove Symbolism and Messages,0,0.045454545454545456
855725,3366302,the season between spring and autumn,0,0.8333333333333333
1098646,336632,6 to 8 weeks,1,1.0
868953,336697,"supple jointed,’ describing an exceptionally flexible",0,0.3636363636363636
290779,336703,4,0,0.2857142857142857
290779,336707,five,0,0.4
8701,3367120,Pacemaker potential,1,1.0
1046384,3367286,Power Powder Plus,0,0.0
1019602,3367609,Creatine monohydrate,0,0.23529411764705882
305333,3367824,"$34,000",0,0.13333333333333333
319564,3367936,3.6 grams,0,0.3076923076923077
1102330,3368047,When grinding your teeth is caused by sleep apnea,0,0.3636363636363636
1102330,3368049,an abnormal bite or missing or crooked teeth,0,0.2978723404255319
999261,3368474,"Bridgeport, Connecticut",0,0.5
1000006,3368646,hematite and magnetite,0,0.18181818181818182
657264,3369048,Her victories in those cases,0,0.0909090909090909
1090458,3369646,A bail bond agent,0,0.1875
1092007,336997,december 7 1941,0,0.8571428571428571
935952,3370276,autumn,0,0.125
455782,3370307,Loss of consciousness,0,0.16666666666666669
978057,3370363,236 km north of Melbourne,0,0.4166666666666667
581552,3370812,infection,0,0.10526315789473684
66154,3370830,loose crystals called “otoconia” in your inner ear,0,0.761904761904762
66154,3370833,vertigo,0,0.1111111111111111
66154,3370834,dislodged calcium crystals,0,0.35294117647058826
478827,3372013,49 cents,0,0.2666666666666667
208265,3372636,2.74 meters long,0,0.25
149801,3372691,calcium oxalate and calcium phosphate stones,0,0.5217391304347826
586268,337273,a clot forms and makes the blood vessel bulge from the added pressure,0,0.7692307692307693
634113,3372772,crude oil distillation unit,0,0.888888888888889
1008208,3372892,Thomas Cruise Mapother IV,1,1.0
1000906,3372898,tropical and subtropical oceans,0,0.2666666666666667
1000906,3372903,all three of the Earth's oceans,0,0.4166666666666667
591310,337299,Using another person’s towel or bedding,0,0.6666666666666666
1093359,3373998,"sweet, sour, salty, and bitter",0,0.33333333333333337
1098763,3374511,6 to 10 days,1,1.0
1079831,3374953,An international organization dealing with the global rules of trade between nations,0,0.5555555555555556
249118,3375666,up to seven years,0,0.25
253678,3375666,180 days,0,0.25
424509,337572,none of your Social Security disability income (SSDI) is taxable,0,0.3174603174603175
424509,337576,none of your Social Security disability income (SSDI) is taxable,0,0.3636363636363636
456551,3376247,The Lake District of Denmark,1,1.0
1082966,3376271,protect cells from damage,0,0.375
1097894,3378382,8-24 hours,0,0.3636363636363636
954144,337919,2 hours,1,1.0
954144,337922,four hours,0,0.6666666666666666
273481,337926,four hours,1,1.0
1098536,3379261,1-888-283-5051,0,0.2857142857142857
1098536,3379265,1-888-283-5051,0,0.2222222222222222
1098536,3379266,1-888-283-5051,1,1.0
1089696,3379880,peak-to-peak amplitude,0,0.2857142857142857
1098338,3380871,1 to 2 days,0,0.3076923076923077
1010615,3380932,1861,0,0.1111111111111111
1098763,3381201,15 days,0,0.14814814814814814
1098763,3381204,15 days,0,0.14814814814814814
859376,3381284,399,0,0.33333333333333337
931147,3381567,"Chrome, Firefox, Internet Explorer, Opera, or Safari",1,1.0
783277,3381614,pH value of around 12 or 13,0,0.6
783277,3381616,pH value of around 12 or 13,0,0.8750000000000001
783277,3381619,pH value of around 12 or 13,0,0.8750000000000001
1100492,3382249,lots of fibre-rich foods,0,0.33333333333333337
1093399,3382364,dozens,0,0.0
297672,3382382,"at your ordinary, or marginal, income tax rate",0,0.3636363636363636
309745,3382893,250 kilograms (550 pounds).,0,0.6666666666666666
309745,3382896,250 kilograms (550 pounds).,0,0.47058823529411764
763619,3383616,Dieuson Octave,1,1.0
992363,338373,members of a group of religious movements,0,0.25
1070452,338401,multiple antennas,0,0.0
948653,3384337,100 degrees Celsius or 212 degrees Fahrenheit,0,0.7000000000000001
249618,3385882,15 years,1,1.0
301061,3385882,15,0,0.125
301061,3385887,eight,0,0.0
955911,3386552,last three (3) days,0,0.5333333333333333
56188,3386713,asthma,0,0.0
726076,3387216,a clear and thin soup,0,0.2857142857142857
726076,3387219,a clear and thin soup made from parts of meat and/or vegetables,0,0.6285714285714286
199442,338728,between 4% and 5.6%.,0,0.8571428571428571
1046952,3387517,Anthony Geary,1,1.0
1024288,3388805,American,1,1.0
1022124,3389027,cooling process,0,0.33333333333333337
332600,3389303,every 3-5 years,1,1.0
1094316,3389570,exponential function,0,0.8
89610,3389973,The cell is the structural and functional unit of all living organisms,0,0.7142857142857143
1089376,3391122,a car rental marketplace,1,1.0
1089376,3391125,a car rental marketplace,0,0.2222222222222222
1089376,3391127,a car sharing marketplace,0,0.2222222222222222
1009994,3391466,The current ratio,0,0.6666666666666666
985371,339212,an older pupil who does special...,0,0.5555555555555556
1055351,3392276,an American politician who served as the 37th President of the United States,0,0.5714285714285715
948397,3392752,9:30AM - 4:00PM EST,0,0.5
1095557,3392906,231 calories,0,0.16666666666666669
885505,339293,Democrat,1,1.0
455743,3392960,"huge, massive",0,0.12903225806451613
20356,3392972,27,0,0.2222222222222222
20356,3392975,27,0,0.25
584592,3393166,Helicobacter pylori (H. pylori) bacteria,0,0.22727272727272727
12903,3393178,age,0,0.0
569555,3393532,nitrogen and oxygen,0,0.23076923076923078
430985,3393840,Vitamin E is also associated with a greater risk of stroke,0,0.22857142857142856
1100496,3393881,coffee (one cup) is taken along with Kalonji oil,0,0.6
239189,3394361,up to three weeks,0,0.7272727272727273
329901,3394400,3.3 milligrams,0,0.2857142857142857
869759,3394446,olive oil,0,0.3636363636363636
1035410,3394570,Computed tomography,0,0.17391304347826084
1025290,3394679,2001,0,0.2857142857142857
537526,3394689,the stuff we can see,0,0.0
1007550,3395220,Kids 12 and under should always be in the back seat,1,1.0
1007550,3395222,if the rear seats are occupied by children 4 and under and under,0,0.5217391304347826
1085572,3395256,Anderson County,1,1.0
1085572,3395257,Houston County,0,0.0
1092007,3395437,"December 7, 1941",1,1.0
1021554,3395664,Latimer worked with the famous inventor Hiram Maxim,1,1.0
457622,339644,Ferrari or a nearly half-a-million dollar Rolls-Royce,0,0.2857142857142857
578607,339659,Long Beach,1,1.0
1096347,33966,any person and at any age,0,0.0
877453,3396972,penicillin,0,0.2222222222222222
877453,3396976,"penicillin, etanercept (Enbrel),",0,0.6
1098570,3397317,"ended on January 20, 2017",1,1.0
1066916,3397785,cyclic octatomic molecules,0,0.5454545454545454
1040409,3398591,"texture, taste, and moisture content",0,0.6666666666666666
344400,3398869,Cut pumpkin into large pieces and place in a roasting pan,0,0.37037037037037035
344400,3398872,Method 1: Basic Baked,0,0.11764705882352941
344400,3398874,first cut the pumpkin in half lengthwise,0,0.18461538461538463
760817,3399275,a tax processing number,0,0.11764705882352941
1071598,3399733,a range of habitats,0,0.0
1091115,3399864,1  Blood in the stool,0,0.8571428571428571
1066161,3399961,achieve a goal,0,0.18181818181818182
1055921,3400306,Hiram Revels,0,0.33333333333333337
1096958,3402488,over 4000,0,0.8
937947,3402847,1965,1,1.0
1036380,3403503,Trigger Price Mechanism,0,0.20689655172413793
1098222,3403835,27 days,0,0.14814814814814814
1094453,3404115,to describe the distance,0,0.25
149670,3404140,brushes and brushes,0,0.5
21185,3404164,U.S. doesn't impose inheritance taxes,0,0.625
344955,3404664,Completion of CLT/MLT clinical courses,0,0.4
1093104,3404721,for the people,0,0.6666666666666666
909221,3405021,oaks,1,1.0
909221,3405025,"holly, holm or ilex oak",0,0.5882352941176471
882002,3405049,134/87 mmHg,0,0.3333333333333333
882002,3405050,134/87 mmHg,0,0.1081081081081081
242061,3405430,within three business days,0,0.7272727272727273
647949,3405478,the passage of molecules or ions between molecules in the cell membrane,0,0.8695652173913044
28442,3406076,62,0,0.25
604229,3407193,Ross County,0,0.5714285714285715
153739,3407270,1.6 billion miles,0,0.15
1095921,3407445,$36.25,1,1.0
778857,3407474,when the pressure inside the eye,0,0.4210526315789474
880527,3408239,Puerto Rican,0,0.5714285714285715
880527,3408244,American,1,1.0
574051,3409765,"one type of conjunction, which join clauses to clauses",0,0.8571428571428571
1099189,3410053,individuals always make prudent and logical decisions,0,0.6086956521739131
840532,34103,continuing to rise,0,0.0
1092042,341032,Treating the following conditions: Menstrual disorders,0,0.4166666666666667
116939,3410559,c: to make more intelligible,0,0.4000000000000001
585806,3412080,Inflammatory conditions of the bowel,0,0.5333333333333333
804103,3412612,Independence Day of the United States,0,0.22222222222222224
180902,3412653,user environment variables (set for each user) and system environment variables,0,0.88
180902,3412654,user variables,0,0.09756097560975609
1011663,3412879,an army corps that was organized in World War II,0,0.6428571428571429
625458,3414141,production of gametes (sperm) and the secretion of hormones,0,0.6666666666666666
721409,3414238,just over 25 mpg,0,0.6666666666666666
214040,3414309,sale of slaves to Europeans,0,0.29411764705882354
1037033,3416611,The sun's energy,0,0.23529411764705882
734198,3416611,The sun's energy,0,0.08695652173913045
1048381,341746,A theft of property having a value lower than a certain small amount,0,0.6060606060606061
1048381,341747,property belonging to another is taken. without that person's consent,0,0.7142857142857143
559959,341755,painful lesions,0,0.16666666666666669
21741,341756,A cold sore,0,0.4444444444444445
722352,341827,"a unique, growing discount retail chain",0,0.5
1078491,3418283,Winn-Dixie,0,0.11764705882352941
1078491,3418284,Winn-Dixie,0,0.11764705882352941
1078491,3418285,Winn-Dixie Stores,0,0.5
722352,341829,a unique discount retail chain,0,0.3076923076923077
42555,3420184,"$158,000",0,0.5
42555,3420191,"$266,000",0,0.0689655172413793
586740,3420533,lactose intolerance,0,0.1142857142857143
371204,3420539,cut back on the serving size next time and add more protein to it,0,0.393939393939394
1084197,342093,"33.3 percent of the first $150,000",0,0.20833333333333334
841919,3421613,cooling it,0,0.09523809523809523
733510,3422584,psychoactive drugs that induce temporary improvements in either mental or physical functions or both,0,0.8
906126,3422795,a principal,0,0.046511627906976744
988294,3423987,north-west part,0,0.4
1086594,3424853,outermost electron shell,0,0.6
1098561,3424897,1200 years,0,0.4
994449,3424930,adrenocorticotropic hormone,0,0.6666666666666666
476947,3425155,the concentration of organisms in a given area,1,1.0
1092865,3425343,corrosive,0,0.0
1092865,3425344,a substance that burns or eats away by chemical reaction,0,0.6666666666666666
547018,3425370,grief over someone's death,0,0.29629629629629634
842596,3425408,to absorb horizontal light waves,0,0.37037037037037035
929046,3425615,1918,0,0.15384615384615385
947678,3426410,twice each month,0,0.5
180592,3426613,Anglo-Frisian,0,0.05128205128205127
180592,3426614,Anglo-Frisian,0,0.047619047619047616
670600,3426897,cutaneous manifestations,0,0.0
408419,3426912,isorderly conduct is considered a violation under New York state law,1,1.0
994012,3426997,Short-term memory,1,1.0
1075919,3427348,a body of high-ranking state officials,0,0.30303030303030304
1051902,3427397,the soft parts of tissue at the front edge of the cheeks,0,0.3050847457627119
626701,3427650,very simple and basic,0,0.5
626701,3427653,crudest,0,0.0
937427,3428132,spring of 1940,0,0.07317073170731708
418752,3428440,Roth IRA,0,0.19999999999999998
459948,3428541,cold sores,0,0.046511627906976744
297672,3428554,Taxes are due only,0,0.12307692307692307
190601,3428646,24 hours,0,0.1111111111111111
1005949,3428904,1986,0,0.2222222222222222
392905,3428933,reproduction-sexual and asexual reproduction,0,0.6666666666666666
392905,3428934,reproduction-sexual and asexual reproduction,0,0.6666666666666666
392905,3428938,sexual reproductive stageshave not been observed,0,0.5714285714285715
392905,3428940,imperfect not because they lack something but because science understands their life cycles imperfectly,0,0.9032258064516129
19940,3429241,The most common symptoms,0,0.0606060606060606
921621,3430547,The Ellen Show,0,0.4
1086681,3432007,soil quality,0,0.3333333333333333
370734,343205,Make sure the column headers are the same,1,1.0
556217,3432569,Degenerative neurological diseases. 2  Vascular disorders,0,0.23529411764705882
556217,3432574,Degenerative neurological diseases,0,0.19999999999999998
548036,3433322,Houston alloy welding,0,0.2857142857142857
959034,3433407,1806,1,1.0
974220,3433639,"Paris, France",1,1.0
990526,3434302,The President of the Republic of Haiti,1,1.0
649200,3434434,the threat or use of violence against civilians to draw attention to an issue,0,0.923076923076923
641618,3434764,lipid energy metabolism is intact,0,0.19607843137254902
1101698,3435052,1 to 1.5 liters,0,0.33333333333333337
1098520,3435314,10 minutes,0,0.25
1101171,3435638,The delusions of schizophrenia can cause hallucinations,0,0.5217391304347826
1101171,3435641,Individuals with schizophrenia often experience hallucinations,0,0.923076923076923
1066043,3435884,when we are depressed,0,0.5
421145,3436292,Portable Network Graphics,0,0.0
996054,3436482,6th and 14th Amendment,1,1.0
117113,3436928,commander-in-chief of union forces,0,0.5333333333333333
522953,3438598,"between 640,000 and 700,000",0,0.6666666666666666
206762,3439130,food processor,0,0.0851063829787234
1034761,3439259,active site,0,0.6666666666666666
393954,3439292,Abbeville and Anderson counties,0,0.5
1051108,343940,treat attention-deficit hyperactivity disorder (ADHD).,0,0.0
1019356,3439524,Revitol,0,0.4
987791,3439578,Porfirio Diaz,0,0.2857142857142857
1011721,3440062,speed,0,0.18181818181818182
466640,3440470,1000 grams,0,0.3333333333333333
1001981,3440751,31 December 1937,0,0.0
914321,3440920,mRNA,0,0.15384615384615385
914321,3440922,mRNA,0,0.15384615384615385
342285,3441516,The Titanic was a mighty ship brought to its knees by an iceberg,0,0.4166666666666667
342285,3441517,The old story that a man dressed as a woman,0,0.6666666666666666
873914,344155,80/40,1,1.0
478063,344204,"25,023",1,1.0
478063,344206,"25,171",1,1.0
1019356,3442791,Tag Away,0,0.5714285714285715
1019262,3442963,375°,0,0.0
1043815,3442994,Carcharodon megalodon,0,0.0
551413,3443067,35,0,0.5
1035535,344307,Carbon tetrachloride,1,1.0
506025,3443156,humid subtropical,0,0.08888888888888888
926064,3443161,1987,1,1.0
1092342,3443744,"the state of, being naive naïve",0,0.3125
1095921,3444373,$2.50 per year plus .50¢.,0,0.8333333333333333
1008947,3444840,"25% of each employees’ gross annual income or $52,000",0,0.45000000000000007
326629,3445228,19g,1,1.0
1088958,3445416,23,1,1.0
1097373,3445623,1 in 68,0,0.7499999999999999
1099495,3445707,oil paints,0,0.33333333333333337
1019262,3446335,325 degrees Fahrenheit,0,0.23076923076923078
1095711,3446998,a few hundred to several thousand dollars,0,0.10526315789473684
745746,3447773,address a variety of the crucial engineering issues facing societies today,0,0.0
1099806,3448090,Honest Tea,0,0.2857142857142857
907173,3448624,"a well balanced diet with plenty of fresh, non-processed foods",0,0.6206896551724138
236362,3448663,by the liver,0,0.17391304347826084
1087425,3449358,an agricultural tool,0,0.12903225806451613
1087425,3449362,an agricultural implement,0,0.2222222222222222
391101,3449438,Tai chi,0,0.23529411764705882
67802,3449537,it can still cause an upset stomach,0,0.21052631578947367
831052,3449543,a gradual warming of the earth's average temperature,0,0.7058823529411764
581666,3449594,Carbon dioxide,0,0.3636363636363636
979133,3449745,from the diet,0,0.0
979133,3449750,from the diet,0,0.0
930124,3450447,large planets,0,0.07017543859649122
1086477,3450546,Maintenance of central personnel and related records,0,0.5833333333333334
583766,3450674,"Celiac disease, cirrhosis, dermatomyositis, liver cancer",0,0.25
704072,3450834,a nine digit code,0,0.15384615384615385
299939,3451449,20,0,0.0
1026372,3451669,Roy Harper,1,1.0
775297,3451701,frequency operation that is narrower than broadband,0,0.43750000000000006
63152,345172,If you have earned income and are under age 70 1/2,0,0.7857142857142858
210690,3452068,"Compare the current stable releases, latest Windows Insider Preview builds, and previous releases",0,0.5714285714285715
1090808,3452299,deep muscle,0,0.3636363636363636
838453,3452697,Adidas Footwear,0,0.17391304347826084
712545,345294,automated teller machine,0,0.6
712545,345300,automated teller machine,0,0.0
395382,3453810,Archie Miller,1,1.0
1000619,3453980,African-American and West-African music,0,0.8
207251,3454829,through contamination by blood and other body fluids,0,0.5
421813,3455050,Pantoprazole,0,0.2222222222222222
1057757,3455687,Grasso,1,1.0
138492,345594,a collection of blood underneath the dura mater,0,0.2926829268292683
987822,3456129,Senator John J. Crittenden,0,0.5333333333333333
498398,3456224,0.54 cos(3.1x – 2.3t),0,0.0
656602,3456323,kill the credit scores,0,0.33333333333333337
656602,3456329,negatively affect credit,0,0.05405405405405406
1023025,3456477,Brevard County,0,0.2666666666666667
1023025,3456482,Brevard County,0,0.8
1095055,345653,anytime between 2 weeks and 6 weeks after infection,0,0.9411764705882353
307118,3456650,$92 each,1,1.0
1078187,3456728,Wind direction,0,0.1081081081081081
1078187,3456731,Wind direction describes the direction on a compass,0,0.5217391304347826
1051942,345741,a poetic form,0,0.18181818181818182
1051942,345745,a form of poetry,0,0.24000000000000002
1051942,345746,a kind of humorous verse of five lines,0,0.3888888888888889
1090915,3458451,a tax levied on the sale of goods and services,0,0.47058823529411764
176994,3458995,an executable file that acts as a shared library of functions and resources,0,0.846153846153846
577131,3459750,Business quarters,0,0.0
885081,3459821,cytoplasm,0,0.6666666666666666
209651,346050,10 feet,0,0.25
987502,3460766,Oroweat Baking Co,0,0.0
43781,34613,"between $5,000 and $9,999",1,1.0
996054,3461363,The Jury Trial Clause,0,0.0
1089940,3461366,Sixth Amendment,0,0.4
1057708,3462705,42-digit integer,0,0.2222222222222222
733510,346292,psychoactive drugs,0,0.125
436586,3463018,Kansas,0,0.0689655172413793
865384,3463340,Magnetic resonance imaging,0,0.21428571428571425
267187,3463700,6 years,0,0.16
248385,3463703,one month or seven years,0,0.21739130434782605
1030451,3463705,severe weather,0,0.05479452054794521
17110,3464184,one (1) teaspoon,0,0.2
1022911,3464556,protecting the body from invading microbes,0,0.24390243902439027
704072,346551,ABA Transit Number,0,0.5
1034680,346611,the distance around the edge,0,0.1621621621621622
871376,3466380,"safe, low impact",0,0.125
728110,3466607,to help lower blood pressure in people with hypertension,0,0.8181818181818181
1093875,3466677,I'm so glad Monticello finally got a decent restaurant,0,0.7272727272727273
442525,3466701,Zagros The Zagros,0,0.6666666666666666
99461,3467203,self-build housing cooperative,0,0.2222222222222222
1098787,3467565,who have started but not completed the series,0,0.5384615384615384
1098787,3467574,age 21,0,0.2222222222222222
205107,3467575,Honesty,0,0.04878048780487806
205107,3467576,Honesty,0,0.1
205107,3467577,Honesty,0,0.0625
205107,3467579,Honesty,0,0.07142857142857142
205107,3467581,uprightness of character or action,0,0.6666666666666666
911605,3467589,ophthalmologist,1,1.0
339009,3468565,in several steps,0,0.03846153846153846
581666,3468602,carbon monoxide,1,1.0
259239,3468645,24 to 48 hours,0,0.25
1084516,3469527,prevent,0,0.2222222222222222
447540,346989,a fracture or fissure in rock,0,0.8333333333333333
789997,3470114,80 psi,0,0.4
1035805,3470528,cherry,0,0.6666666666666666
1035805,3470530,cherry tree,1,1.0
125842,3471660,a history of osteoporotic fracture,0,0.18181818181818182
988960,3472160,on the Cumberland River,0,0.20689655172413793
26485,3472595,contention,0,0.06666666666666667
93311,3472777,"a vertical, near vertical or sloping wall of rock or sediment",0,0.4166666666666667
995806,3472808,X and Y,0,0.5454545454545454
497470,3473301,Flexeril,0,0.0
1022832,3473626,55,0,0.5
1022832,3473630,55,0,0.19999999999999998
999791,3473841,countries across the globe,0,0.0
1003481,3473945,every 10 years,0,0.5454545454545454
1098111,3474037,maximum 3 days,0,0.5
1097885,3474043,more than 10 hours,0,0.5
436924,3474235,capybara,0,0.5
405238,3474378,Callahan Family Name,0,0.0
405238,3474379,Callahan,0,0.0909090909090909
405238,3474383,Callahan,0,0.0909090909090909
